,region,electorate_2019,population_2020,area_km2,representative,,party,province_name,district_no,district_link
182,IV-B,178706,345815,3188.35,Vacant,,,Palawan,3,https://en.wikipedia.org/wiki/Palawan%27s_3rd_congressional_district
183,III,380959,880360,240.77,Carmelo Lazatin II,,PDP,Pampanga,1,https://en.wikipedia.org/wiki/Pampanga%27s_1st_congressional_district
184,III,330862,655973,815.48,Gloria Macapagal Arroyo,,Lakas,Pampanga,2,https://en.wikipedia.org/wiki/Pampanga%27s_2nd_congressional_district
185,III,400858,782547,431.17,Aurelio Gonzales Jr.,,Independent,Pampanga,3,https://en.wikipedia.org/wiki/Pampanga%27s_3rd_congressional_district
186,III,347624,581757,575.05,Anna Bondoc,,Nacionalista,Pampanga,4,https://en.wikipedia.org/wiki/Pampanga%27s_4th_congressional_district
187,I,278494,454365,1758.81,Arthur Celeste,,Nacionalista,Pangasinan,1,https://en.wikipedia.org/wiki/Pangasinan%27s_1st_congressional_district
188,I,325051,514041,1080.26,Mark Cojuangco,,NPC,Pangasinan,2,https://en.wikipedia.org/wiki/Pangasinan%27s_2nd_congressional_district
189,I,406069,708245,584.07,Rachel Baby Arenas,,Lakas,Pangasinan,3,https://en.wikipedia.org/wiki/Pangasinan%27s_3rd_congressional_district
190,I,310771,495311,274.35,Christopher de Venecia,,Lakas,Pangasinan,4,https://en.wikipedia.org/wiki/Pangasinan%27s_4th_congressional_district
191,I,324329,526367,585.67,Ramon Guico Jr.,,Lakas,Pangasinan,5,https://en.wikipedia.org/wiki/Pangasinan%27s_5th_congressional_district
192,I,301978,464861,1175.09,Len Primicias Agabas,,PFP,Pangasinan,6,https://en.wikipedia.org/wiki/Pangasinan%27s_6th_congressional_district
193,NCR,137525,265839,17.06,Edwin Olivarez,,Lakas,Parañaque,1,https://en.wikipedia.org/wiki/Para%C3%B1aque%27s_1st_congressional_district
194,NCR,191399,424153,27.99,Gustavo Tambunting,,NUP,Parañaque,2,https://en.wikipedia.org/wiki/Para%C3%B1aque%27s_2nd_congressional_district
195,NCR,285538,440656,13.97,Antonino Calixto,,Lakas,Pasay,at-large,https://en.wikipedia.org/wiki/Pasay%27s_at-large_congressional_district
196,NCR,440856,803159,31.0,Roman Romulo,,Independent,Pasig,at-large,https://en.wikipedia.org/wiki/Pasig%27s_at-large_congressional_district
197,IV-A,320898,573895,4178.81,Wilfrido Mark Enverga,,NPC,Quezon,1,https://en.wikipedia.org/wiki/Quezon%27s_1st_congressional_district
198,IV-A,421577,753343,825.38,David C. Suarez,,Lakas,Quezon,2,https://en.wikipedia.org/wiki/Quezon%27s_2nd_congressional_district
199,IV-A,268105,446711,1986.2,Reynante Arrogancia,,NPC,Quezon,3,https://en.wikipedia.org/wiki/Quezon%27s_3rd_congressional_district
200,IV-A,273864,455434,2079.21,Mike Tan,,NPC,Quezon,4,https://en.wikipedia.org/wiki/Quezon%27s_4th_congressional_district
201,NCR,204097,384384,19.16,Arjo Atayde,,Nacionalista,Quezon City,1,https://en.wikipedia.org/wiki/Quezon_City%27s_1st_congressional_district
202,NCR,329585,738328,26.62,Ralph Tulfo,,PFP,Quezon City,2,https://en.wikipedia.org/wiki/Quezon_City%27s_2nd_congressional_district
203,NCR,150580,319371,22.16,Franz Pumaren,,NUP,Quezon City,3,https://en.wikipedia.org/wiki/Quezon_City%27s_3rd_congressional_district
204,NCR,209699,407402,22.86,Marvin Rillo,,Lakas,Quezon City,4,https://en.wikipedia.org/wiki/Quezon_City%27s_4th_congressional_district
205,NCR,246497,596047,52.01,PM Vargas,,Lakas,Quezon City,5,https://en.wikipedia.org/wiki/Quezon_City%27s_5th_congressional_district
206,NCR,189660,514516,21.72,Marivic Co-Pilar,,NUP,Quezon City,6,https://en.wikipedia.org/wiki/Quezon_City%27s_6th_congressional_district
207,II,117635,203828,2323.47,Midy Cua,,Lakas,Quirino,at-large,https://en.wikipedia.org/wiki/Quirino%27s_at-large_congressional_district
208,IV-A,544551,1207509,174.35,Michael John Duavit,,NPC,Rizal,1,https://en.wikipedia.org/wiki/Rizal%27s_1st_congressional_district
209,IV-A,278444,517975,474.46,Dino Tanjuatco,,Liberal,Rizal,2,https://en.wikipedia.org/wiki/Rizal%27s_2nd_congressional_district
210,IV-A,106418,273306,55.09,Jose Arturo Garcia Jr.,,NPC,Rizal,3,https://en.wikipedia.org/wiki/Rizal%27s_3rd_congressional_district
211,IV-A,209134,443954,172.65,Juan Fidel Felipe Nograles,,Lakas,Rizal,4,https://en.wikipedia.org/wiki/Rizal%27s_4th_congressional_district
212,IV-B,198078,308985,1533.45,Eleandro Jesus Madrona,,Nacionalista,Romblon,at-large,https://en.wikipedia.org/wiki/Romblon%27s_at-large_congressional_district
213,VIII,247967,338230,2269.14,Jimboy Tan,,Nacionalista,Samar,1,https://en.wikipedia.org/wiki/Samar%27s_1st_congressional_district
214,VIII,315166,454953,3778.89,Reynolds Michael Tan,,Lakas,Samar,2,https://en.wikipedia.org/wiki/Samar%27s_2nd_congressional_district
215,III,247567,651813,105.53,Florida Robes,,PFP,San Jose del Monte,at-large,https://en.wikipedia.org/wiki/San_Jose_del_Monte%27s_at-large_congressional_district
216,NCR,82977,126347,5.95,Bel Zamora,,PDP,San Juan,at-large,https://en.wikipedia.org/wiki/San_Juan%27s_at-large_congressional_district
217,IV-A,213913,414812,54.84,Danilo Fernandez,,NUP,Santa Rosa,at-large,https://en.wikipedia.org/wiki/Santa_Rosa%27s_at-large_congressional_district
218,XII,345904,558946,3601.25,Steve Solon,,Lakas,Sarangani,at-large,https://en.wikipedia.org/wiki/Sarangani%27s_at-large_congressional_district
219,VII,76225,103395,337.49,Jecoy Villa,,PDP,Siquijor,at-large,https://en.wikipedia.org/wiki/Siquijor%27s_at-large_congressional_district
220,V,250659,441959,1103.73,Dette Escudero,,NPC,Sorsogon,1,https://en.wikipedia.org/wiki/Sorsogon%27s_1st_congressional_district
221,V,242457,386696,1015.28,Wowo Fortes,,NPC,Sorsogon,2,https://en.wikipedia.org/wiki/Sorsogon%27s_2nd_congressional_district
222,XII,172031,287082,147.48,Ed Lumayag,,PFP,South Cotabato,1,https://en.wikipedia.org/wiki/South_Cotabato%27s_1st_congressional_district
223,XII,386922,688394,1372.2,Peter Miguel,,PFP,South Cotabato,2,https://en.wikipedia.org/wiki/South_Cotabato%27s_2nd_congressional_district
224,VIII,132114,201421,528.94,Luz Mercado,,NUP,Southern Leyte,1,https://en.wikipedia.org/wiki/Southern_Leyte%27s_1st_congressional_district
225,VIII,160223,228152,1269.67,Christopherson Yap,,Lakas,Southern Leyte,2,https://en.wikipedia.org/wiki/Southern_Leyte%27s_2nd_congressional_district
226,XII,231471,427963,2327.08,Princess Rihan Sakaluran,,Lakas,Sultan Kudarat,1,https://en.wikipedia.org/wiki/Sultan_Kudarat%27s_1st_congressional_district
227,XII,220540,426089,2971.26,Horacio Suansing Jr.,,NUP,Sultan Kudarat,2,https://en.wikipedia.org/wiki/Sultan_Kudarat%27s_2nd_congressional_district
228,BARMM,215522,585458,1101.53,Samier Tan,,Lakas,Sulu,1,https://en.wikipedia.org/wiki/Sulu%27s_1st_congressional_district
229,BARMM,160713,414650,989.17,Abdulmunir Arbison Jr.,,Lakas,Sulu,2,https://en.wikipedia.org/wiki/Sulu%27s_2nd_congressional_district
230,XIII,95798,136092,622.56,Francisco Jose Matugas II,,Lakas,Surigao del Norte,1,https://en.wikipedia.org/wiki/Surigao_del_Norte%27s_1st_congressional_district
231,XIII,271507,398544,1350.37,Ace Barbers,,Nacionalista,Surigao del Norte,2,https://en.wikipedia.org/wiki/Surigao_del_Norte%27s_2nd_congressional_district
232,XIII,240674,369785,3410.64,Romeo Momo,,Independent,Surigao del Sur,1,https://en.wikipedia.org/wiki/Surigao_del_Sur%27s_1st_congressional_district
233,XIII,172919,272470,1522.06,Johnny Pimentel,,PDP,Surigao del Sur,2,https://en.wikipedia.org/wiki/Surigao_del_Sur%27s_2nd_congressional_district
234,NCR,227891,484906,20.61,Ading Cruz,,Nacionalista,Taguig–Pateros,1,https://en.wikipedia.org/wiki/Taguig%E2%80%93Pateros%27s_1st_congressional_district
235,NCR,249644,467043,24.6,Pammy Zamora,,Nacionalista,Taguig–Pateros,2,https://en.wikipedia.org/wiki/Taguig%E2%80%93Pateros%27s_2nd_congressional_district
236,III,268842,439800,960.04,Jaime Cojuangco,,NPC,Tarlac,1,https://en.wikipedia.org/wiki/Tarlac%27s_1st_congressional_district
237,III,320259,590435,1107.87,Christian Yap,,NPC,Tarlac,2,https://en.wikipedia.org/wiki/Tarlac%27s_2nd_congressional_district
238,III,249363,473221,985.69,Bong Rivera,,NPC,Tarlac,3,https://en.wikipedia.org/wiki/Tarlac%27s_3rd_congressional_district
239,BARMM,210419,440276,1087.4,Dimszar Sali,,NUP,Tawi-Tawi,at-large,https://en.wikipedia.org/wiki/Tawi-Tawi%27s_at-large_congressional_district
240,NCR,175621,360894,25.82,Vacant,,,Valenzuela,1,https://en.wikipedia.org/wiki/Valenzuela%27s_1st_congressional_district
241,NCR,202392,354084,18.69,Eric Martinez,,PDP,Valenzuela,2,https://en.wikipedia.org/wiki/Valenzuela%27s_2nd_congressional_district
242,III,247575,477837,982.01,Jay Khonghun,,Lakas,Zambales,1,https://en.wikipedia.org/wiki/Zambales%27s_1st_congressional_district
243,III,268149,432095,2848.82,Bing Maniquiz,,Lakas,Zambales,2,https://en.wikipedia.org/wiki/Zambales%27s_2nd_congressional_district
244,IX,240312,448390,211.21,Khymer Adan Olaso,,Adelante Zamboanga Party,Zamboanga City,1,https://en.wikipedia.org/wiki/Zamboanga_City%27s_1st_congressional_district
245,IX,227223,528844,1203.49,Manuel Jose Dalipe,,Lakas,Zamboanga City,2,https://en.wikipedia.org/wiki/Zamboanga_City%27s_2nd_congressional_district
246,IX,159710,231980,1536.29,Pinpin Uy,,Lakas,Zamboanga del Norte,1,https://en.wikipedia.org/wiki/Zamboanga_del_Norte%27s_1st_congressional_district
247,IX,265905,427956,2018.6,Glona Labadlabad,,Lakas,Zamboanga del Norte,2,https://en.wikipedia.org/wiki/Zamboanga_del_Norte%27s_2nd_congressional_district
248,IX,258458,387519,3746.11,Ian Amatong,,Liberal,Zamboanga del Norte,3,https://en.wikipedia.org/wiki/Zamboanga_del_Norte%27s_3rd_congressional_district
249,IX,384126,630154,2180.49,Divina Grace Yu,,Lakas,Zamboanga del Sur,1,https://en.wikipedia.org/wiki/Zamboanga_del_Sur%27s_1st_congressional_district
250,IX,256774,420514,2318.97,Victoria Yu,,PDP,Zamboanga del Sur,2,https://en.wikipedia.org/wiki/Zamboanga_del_Sur%27s_2nd_congressional_district
251,IX,170321,307161,1393.27,Wilter Palma,,Lakas,Zamboanga Sibugay,1,https://en.wikipedia.org/wiki/Zamboanga_Sibugay%27s_1st_congressional_district
252,IX,230204,362679,2214.48,Tata Eudela,,Lakas,Zamboanga Sibugay,2,https://en.wikipedia.org/wiki/Zamboanga_Sibugay%27s_2nd_congressional_district
